close,high,low,open,symbol,timestamp,tradingDay,volume
50.15,50.17,49.5,49.78,XLB,2019-01-02T09:30:00-05:00,2019-01-02,1346105
50.39,50.49,50.02,50.15,XLB,2019-01-02T10:00:00-05:00,2019-01-02,927923
50.56,50.63,50.26,50.4,XLB,2019-01-02T10:30:00-05:00,2019-01-02,881262
50.73,50.96,50.51,50.56,XLB,2019-01-02T11:00:00-05:00,2019-01-02,731492
50.62,50.86,50.62,50.73,XLB,2019-01-02T11:30:00-05:00,2019-01-02,640090
50.58,50.69,50.49,50.61,XLB,2019-01-02T12:00:00-05:00,2019-01-02,420404
50.7,50.76,50.545,50.58,XLB,2019-01-02T12:30:00-05:00,2019-01-02,373361
50.86,50.92,50.6813,50.7,XLB,2019-01-02T13:00:00-05:00,2019-01-02,351694
50.95,50.97,50.75,50.86,XLB,2019-01-02T13:30:00-05:00,2019-01-02,347358
50.805,50.97,50.69,50.96,XLB,2019-01-02T14:00:00-05:00,2019-01-02,368459
50.71,50.94,50.68,50.81,XLB,2019-01-02T14:30:00-05:00,2019-01-02,308690
50.61,50.79,50.53,50.71,XLB,2019-01-02T15:00:00-05:00,2019-01-02,629234
50.77,50.82,50.48,50.6,XLB,2019-01-02T15:30:00-05:00,2019-01-02,1175732
50.07,50.51,49.9,50.51,XLB,2019-01-03T09:30:00-05:00,2019-01-03,720892
49.56,50.06,49.41,50.06,XLB,2019-01-03T10:00:00-05:00,2019-01-03,718823
49.53,49.55,49.24,49.55,XLB,2019-01-03T10:30:00-05:00,2019-01-03,980500
49.63,49.78,49.44,49.53,XLB,2019-01-03T11:00:00-05:00,2019-01-03,519184
49.99,50.19,49.62,49.64,XLB,2019-01-03T11:30:00-05:00,2019-01-03,1262175
49.9,50.045,49.86,49.97,XLB,2019-01-03T12:00:00-05:00,2019-01-03,740457
49.96,49.99,49.745,49.89,XLB,2019-01-03T12:30:00-05:00,2019-01-03,469409
49.64,49.95,49.47,49.95,XLB,2019-01-03T13:00:00-05:00,2019-01-03,579164
49.58,49.83,49.54,49.63,XLB,2019-01-03T13:30:00-05:00,2019-01-03,273177
49.78,49.79,49.54,49.58,XLB,2019-01-03T14:00:00-05:00,2019-01-03,602409
49.5,49.87,49.43,49.79,XLB,2019-01-03T14:30:00-05:00,2019-01-03,439147
49.52,49.57,49.37,49.5,XLB,2019-01-03T15:00:00-05:00,2019-01-03,433717
49.35,49.65,49.28,49.5,XLB,2019-01-03T15:30:00-05:00,2019-01-03,1308813
50.475,50.54,50.06,50.14,XLB,2019-01-04T09:30:00-05:00,2019-01-04,934149
50.955,50.96,50.38,50.49,XLB,2019-01-04T10:00:00-05:00,2019-01-04,1429075
51.06,51.07,50.78,50.95,XLB,2019-01-04T10:30:00-05:00,2019-01-04,1410703
