close,high,low,open,symbol,timestamp,tradingDay,volume
23.73,23.73,23.4,23.5041,XLF,2019-01-02T09:30:00-05:00,2019-01-02,6704057
23.82,23.87,23.66,23.725,XLF,2019-01-02T10:00:00-05:00,2019-01-02,5690354
23.9145,23.96,23.785,23.82,XLF,2019-01-02T10:30:00-05:00,2019-01-02,2856029
23.95,24.0355,23.88,23.92,XLF,2019-01-02T11:00:00-05:00,2019-01-02,4900578
23.865,24.01,23.865,23.945,XLF,2019-01-02T11:30:00-05:00,2019-01-02,3380841
23.85,23.9067,23.83,23.865,XLF,2019-01-02T12:00:00-05:00,2019-01-02,3584861
23.935,23.95,23.8227,23.85,XLF,2019-01-02T12:30:00-05:00,2019-01-02,3050259
23.99,24.015,23.935,23.9363,XLF,2019-01-02T13:00:00-05:00,2019-01-02,3435015
24.06,24.07,23.96,23.995,XLF,2019-01-02T13:30:00-05:00,2019-01-02,3555307
23.965,24.06,23.9207,24.06,XLF,2019-01-02T14:00:00-05:00,2019-01-02,2406526
23.93,24.03,23.92,23.96,XLF,2019-01-02T14:30:00-05:00,2019-01-02,2246637
23.891,23.96,23.83,23.925,XLF,2019-01-02T15:00:00-05:00,2019-01-02,4115994
24.0,24.015,23.84,23.895,XLF,2019-01-02T15:30:00-05:00,2019-01-02,9721074
23.82,23.9,23.7,23.84,XLF,2019-01-03T09:30:00-05:00,2019-01-03,6907219
23.67,23.81,23.58,23.81,XLF,2019-01-03T10:00:00-05:00,2019-01-03,6535528
23.62,23.665,23.49,23.66,XLF,2019-01-03T10:30:00-05:00,2019-01-03,6126328
23.61,23.69,23.57,23.6152,XLF,2019-01-03T11:00:00-05:00,2019-01-03,2879159
23.73,23.82,23.59,23.6081,XLF,2019-01-03T11:30:00-05:00,2019-01-03,5889049
23.73,23.765,23.66,23.72,XLF,2019-01-03T12:00:00-05:00,2019-01-03,4155029
23.81,23.82,23.7,23.73,XLF,2019-01-03T12:30:00-05:00,2019-01-03,3191846
23.67,23.81,23.6,23.81,XLF,2019-01-03T13:00:00-05:00,2019-01-03,3758930
23.64,23.74,23.62,23.66,XLF,2019-01-03T13:30:00-05:00,2019-01-03,1272222
23.71,23.715,23.6,23.63,XLF,2019-01-03T14:00:00-05:00,2019-01-03,1808139
23.57,23.745,23.54,23.72,XLF,2019-01-03T14:30:00-05:00,2019-01-03,2555398
23.52,23.585,23.49,23.57,XLF,2019-01-03T15:00:00-05:00,2019-01-03,3847201
23.48,23.59,23.42,23.52,XLF,2019-01-03T15:30:00-05:00,2019-01-03,11981955
23.9428,24.0,23.84,23.88,XLF,2019-01-04T09:30:00-05:00,2019-01-04,7583876
24.105,24.1175,23.82,23.943,XLF,2019-01-04T10:00:00-05:00,2019-01-04,6712696
24.085,24.12,23.945,24.1,XLF,2019-01-04T10:30:00-05:00,2019-01-04,6455818
24.02,24.17,23.99,24.08,XLF,2019-01-04T11:00:00-05:00,2019-01-04,3523753
24.15,24.17,24.0,24.03,XLF,2019-01-04T11:30:00-05:00,2019-01-04,3842280
24.175,24.2,24.06,24.14,XLF,2019-01-04T12:00:00-05:00,2019-01-04,3136554
24.23,24.265,24.14,24.18,XLF,2019-01-04T12:30:00-05:00,2019-01-04,1937699
24.22,24.31,24.21,24.23,XLF,2019-01-04T13:00:00-05:00,2019-01-04,1818769
24.205,24.25,24.145,24.225,XLF,2019-01-04T13:30:00-05:00,2019-01-04,3913395
24.24,24.2441,24.1253,24.21,XLF,2019-01-04T14:00:00-05:00,2019-01-04,2517976
24.1623,24.28,24.155,24.24,XLF,2019-01-04T14:30:00-05:00,2019-01-04,2605609
24.19,24.2668,24.15,24.165,XLF,2019-01-04T15:00:00-05:00,2019-01-04,3106661
24.24,24.29,24.17,24.1892,XLF,2019-01-04T15:30:00-05:00,2019-01-04,12085659
24.18,24.24,24.06,24.21,XLF,2019-01-07T09:30:00-05:00,2019-01-07,4537199
24.175,24.26,24.14,24.18,XLF,2019-01-07T10:00:00-05:00,2019-01-07,4617844
24.27,24.315,24.165,24.175,XLF,2019-01-07T10:30:00-05:00,2019-01-07,3380279
24.315,24.33,24.245,24.27,XLF,2019-01-07T11:00:00-05:00,2019-01-07,2227458
24.41,24.41,24.275,24.3101,XLF,2019-01-07T11:30:00-05:00,2019-01-07,2562494
24.38,24.41,24.34,24.41,XLF,2019-01-07T12:00:00-05:00,2019-01-07,1470300
24.4401,24.4599,24.37,24.3848,XLF,2019-01-07T12:30:00-05:00,2019-01-07,1749184
24.47,24.51,24.44,24.44,XLF,2019-01-07T13:00:00-05:00,2019-01-07,2572721
24.39,24.51,24.38,24.46,XLF,2019-01-07T13:30:00-05:00,2019-01-07,3551411
24.435,24.48,24.39,24.39,XLF,2019-01-07T14:00:00-05:00,2019-01-07,4692453
24.335,24.4467,24.315,24.44,XLF,2019-01-07T14:30:00-05:00,2019-01-07,2979637
24.415,24.43,24.335,24.335,XLF,2019-01-07T15:00:00-05:00,2019-01-07,1755841
24.3,24.42,24.28,24.415,XLF,2019-01-07T15:30:00-05:00,2019-01-07,7327057
24.36,24.5451,24.31,24.5451,XLF,2019-01-08T09:30:00-05:00,2019-01-08,5833674
24.23,24.4299,24.18,24.36,XLF,2019-01-08T10:00:00-05:00,2019-01-08,4261812
24.09,24.245,24.08,24.23,XLF,2019-01-08T10:30:00-05:00,2019-01-08,5838254
24.095,24.15,24.06,24.095,XLF,2019-01-08T11:00:00-05:00,2019-01-08,5864647
24.13,24.14,24.03,24.1,XLF,2019-01-08T11:30:00-05:00,2019-01-08,5385912
24.2,24.23,24.13,24.14,XLF,2019-01-08T12:00:00-05:00,2019-01-08,3826996
24.1,24.2075,24.04,24.2,XLF,2019-01-08T12:30:00-05:00,2019-01-08,19263320
24.135,24.14,24.07,24.09,XLF,2019-01-08T13:00:00-05:00,2019-01-08,3691503
24.2002,24.22,24.11,24.14,XLF,2019-01-08T13:30:00-05:00,2019-01-08,4034792
24.21,24.25,24.17,24.205,XLF,2019-01-08T14:00:00-05:00,2019-01-08,3681392
24.185,24.24,24.15,24.21,XLF,2019-01-08T14:30:00-05:00,2019-01-08,7953812
24.2296,24.2296,24.135,24.18,XLF,2019-01-08T15:00:00-05:00,2019-01-08,2669324
24.3,24.3,24.2113,24.225,XLF,2019-01-08T15:30:00-05:00,2019-01-08,8963292
24.44,24.51,24.35,24.37,XLF,2019-01-09T09:30:00-05:00,2019-01-09,5209739
24.38,24.48,24.3645,24.45,XLF,2019-01-09T10:00:00-05:00,2019-01-09,4276484
24.255,24.375,24.2038,24.37,XLF,2019-01-09T10:30:00-05:00,2019-01-09,6208844
24.405,24.42,24.24,24.26,XLF,2019-01-09T11:00:00-05:00,2019-01-09,3312991
24.42,24.46,24.36,24.4016,XLF,2019-01-09T11:30:00-05:00,2019-01-09,2484060
24.445,24.47,24.4,24.4164,XLF,2019-01-09T12:00:00-05:00,2019-01-09,2211302
24.5,24.5,24.4338,24.45,XLF,2019-01-09T12:30:00-05:00,2019-01-09,1964635
24.465,24.505,24.4445,24.5,XLF,2019-01-09T13:00:00-05:00,2019-01-09,1685571
24.445,24.47,24.42,24.46,XLF,2019-01-09T13:30:00-05:00,2019-01-09,1103426
24.4,24.52,24.38,24.44,XLF,2019-01-09T14:00:00-05:00,2019-01-09,4675334
