close,high,low,open,symbol,timestamp,tradingDay,volume
50.33,50.44,49.95,50.24,XLP,2019-01-02T09:30:00-05:00,2019-01-02,2682359
50.11,50.51,50.1,50.33,XLP,2019-01-02T10:00:00-05:00,2019-01-02,1287914
50.27,50.34,50.06,50.115,XLP,2019-01-02T10:30:00-05:00,2019-01-02,844862
50.37,50.52,50.23,50.28,XLP,2019-01-02T11:00:00-05:00,2019-01-02,1446459
50.36,50.52,50.31,50.37,XLP,2019-01-02T11:30:00-05:00,2019-01-02,1138211
50.31,50.42,50.3,50.37,XLP,2019-01-02T12:00:00-05:00,2019-01-02,985298
50.52,50.545,50.29,50.3,XLP,2019-01-02T12:30:00-05:00,2019-01-02,764180
50.61,50.64,50.49,50.52,XLP,2019-01-02T13:00:00-05:00,2019-01-02,1082940
50.63,50.6399,50.53,50.61,XLP,2019-01-02T13:30:00-05:00,2019-01-02,581087
50.49,50.62,50.39,50.62,XLP,2019-01-02T14:00:00-05:00,2019-01-02,824547
50.43,50.5738,50.43,50.49,XLP,2019-01-02T14:30:00-05:00,2019-01-02,712796
50.4,50.48,50.24,50.43,XLP,2019-01-02T15:00:00-05:00,2019-01-02,2089343
50.52,50.575,50.17,50.395,XLP,2019-01-02T15:30:00-05:00,2019-01-02,4028133
50.73,50.81,50.34,50.39,XLP,2019-01-03T09:30:00-05:00,2019-01-03,2921308
50.54,50.73,50.37,50.73,XLP,2019-01-03T10:00:00-05:00,2019-01-03,2163028
50.46,50.58,50.33,50.54,XLP,2019-01-03T10:30:00-05:00,2019-01-03,1612249
50.42,50.53,50.32,50.46,XLP,2019-01-03T11:00:00-05:00,2019-01-03,924135
50.69,50.91,50.36,50.425,XLP,2019-01-03T11:30:00-05:00,2019-01-03,1745324
50.58,50.71,50.54,50.68,XLP,2019-01-03T12:00:00-05:00,2019-01-03,1172090
50.6,50.65,50.45,50.58,XLP,2019-01-03T12:30:00-05:00,2019-01-03,787752
50.4,50.6,50.15,50.59,XLP,2019-01-03T13:00:00-05:00,2019-01-03,1573561
50.38,50.52,50.32,50.4,XLP,2019-01-03T13:30:00-05:00,2019-01-03,820885
50.5648,50.59,50.355,50.38,XLP,2019-01-03T14:00:00-05:00,2019-01-03,779079
50.38,50.63,50.2831,50.57,XLP,2019-01-03T14:30:00-05:00,2019-01-03,937757
50.33,50.4,50.27,50.37,XLP,2019-01-03T15:00:00-05:00,2019-01-03,875102
