close,high,low,open,symbol,timestamp,tradingDay,volume
52.3,52.76,51.97,52.71,XLU,2019-01-02T09:30:00-05:00,2019-01-02,4442177
52.0,52.5,52.0,52.31,XLU,2019-01-02T10:00:00-05:00,2019-01-02,2444183
51.97,52.1,51.85,52.01,XLU,2019-01-02T10:30:00-05:00,2019-01-02,1870363
52.03,52.24,51.93,51.99,XLU,2019-01-02T11:00:00-05:00,2019-01-02,1468596
51.94,52.11,51.885,52.025,XLU,2019-01-02T11:30:00-05:00,2019-01-02,1935294
51.83,51.98,51.83,51.94,XLU,2019-01-02T12:00:00-05:00,2019-01-02,1205020
52.06,52.09,51.795,51.82,XLU,2019-01-02T12:30:00-05:00,2019-01-02,1282379
52.09,52.12,51.96,52.07,XLU,2019-01-02T13:00:00-05:00,2019-01-02,630917
52.0499,52.13,51.99,52.1,XLU,2019-01-02T13:30:00-05:00,2019-01-02,789825
51.92,52.04,51.85,52.04,XLU,2019-01-02T14:00:00-05:00,2019-01-02,895702
51.98,52.05,51.91,51.92,XLU,2019-01-02T14:30:00-05:00,2019-01-02,698715
51.92,52.05,51.79,51.98,XLU,2019-01-02T15:00:00-05:00,2019-01-02,1614674
51.99,52.03,51.7,51.91,XLU,2019-01-02T15:30:00-05:00,2019-01-02,3050153
52.2,52.44,51.96,52.01,XLU,2019-01-03T09:30:00-05:00,2019-01-03,2689104
52.16,52.39,52.05,52.19,XLU,2019-01-03T10:00:00-05:00,2019-01-03,1871328
51.94,52.26,51.7576,52.15,XLU,2019-01-03T10:30:00-05:00,2019-01-03,1567426
51.97,52.02,51.765,51.93,XLU,2019-01-03T11:00:00-05:00,2019-01-03,1494933
52.19,52.35,51.91,51.97,XLU,2019-01-03T11:30:00-05:00,2019-01-03,1156765
52.23,52.3,52.04,52.18,XLU,2019-01-03T12:00:00-05:00,2019-01-03,760821
52.18,52.285,52.09,52.22,XLU,2019-01-03T12:30:00-05:00,2019-01-03,878641
52.09,52.19,51.82,52.17,XLU,2019-01-03T13:00:00-05:00,2019-01-03,1013959
52.14,52.24,52.07,52.09,XLU,2019-01-03T13:30:00-05:00,2019-01-03,667453
52.27,52.27,52.1146,52.14,XLU,2019-01-03T14:00:00-05:00,2019-01-03,877227
52.14,52.285,52.0889,52.27,XLU,2019-01-03T14:30:00-05:00,2019-01-03,957656
52.17,52.26,52.115,52.14,XLU,2019-01-03T15:00:00-05:00,2019-01-03,1207652
52.01,52.25,51.98,52.17,XLU,2019-01-03T15:30:00-05:00,2019-01-03,3749749
52.3,52.3,51.69,51.76,XLU,2019-01-04T09:30:00-05:00,2019-01-04,2260338
52.54,52.5999,52.26,52.3,XLU,2019-01-04T10:00:00-05:00,2019-01-04,2068503
52.45,52.63,52.4216,52.55,XLU,2019-01-04T10:30:00-05:00,2019-01-04,1320074
52.36,52.65,52.325,52.46,XLU,2019-01-04T11:00:00-05:00,2019-01-04,1210110
52.43,52.52,52.32,52.36,XLU,2019-01-04T11:30:00-05:00,2019-01-04,672542
52.56,52.6,52.31,52.435,XLU,2019-01-04T12:00:00-05:00,2019-01-04,1220283
52.68,52.7365,52.5,52.57,XLU,2019-01-04T12:30:00-05:00,2019-01-04,871886
52.48,52.725,52.48,52.69,XLU,2019-01-04T13:00:00-05:00,2019-01-04,519307
52.46,52.55,52.36,52.49,XLU,2019-01-04T13:30:00-05:00,2019-01-04,1240974
52.4,52.47,52.35,52.47,XLU,2019-01-04T14:00:00-05:00,2019-01-04,995860
52.475,52.55,52.37,52.39,XLU,2019-01-04T14:30:00-05:00,2019-01-04,976245
52.5916,52.63,52.48,52.48,XLU,2019-01-04T15:00:00-05:00,2019-01-04,1146051
52.78,52.795,52.5733,52.59,XLU,2019-01-04T15:30:00-05:00,2019-01-04,2958663
52.201,52.54,52.12,52.44,XLU,2019-01-07T09:30:00-05:00,2019-01-07,3604113
52.4,52.55,52.17,52.2,XLU,2019-01-07T10:00:00-05:00,2019-01-07,1849206
52.52,52.67,52.395,52.4,XLU,2019-01-07T10:30:00-05:00,2019-01-07,1140617
52.46,52.59,52.3996,52.51,XLU,2019-01-07T11:00:00-05:00,2019-01-07,708454
52.41,52.525,52.379,52.47,XLU,2019-01-07T11:30:00-05:00,2019-01-07,777869
52.42,52.46,52.3,52.41,XLU,2019-01-07T12:00:00-05:00,2019-01-07,596413
52.5,52.51,52.3638,52.4228,XLU,2019-01-07T12:30:00-05:00,2019-01-07,676860
52.63,52.63,52.48,52.5,XLU,2019-01-07T13:00:00-05:00,2019-01-07,541694
52.551,52.64,52.52,52.625,XLU,2019-01-07T13:30:00-05:00,2019-01-07,591266
52.4051,52.59,52.38,52.56,XLU,2019-01-07T14:00:00-05:00,2019-01-07,658916
52.3,52.44,52.275,52.41,XLU,2019-01-07T14:30:00-05:00,2019-01-07,786786
52.48,52.5,52.28,52.29,XLU,2019-01-07T15:00:00-05:00,2019-01-07,728637
52.43,52.57,52.38,52.49,XLU,2019-01-07T15:30:00-05:00,2019-01-07,1767747
52.44,52.61,52.17,52.46,XLU,2019-01-08T09:30:00-05:00,2019-01-08,2444455
52.62,52.64,52.35,52.45,XLU,2019-01-08T10:00:00-05:00,2019-01-08,1182659
52.71,52.7266,52.57,52.63,XLU,2019-01-08T10:30:00-05:00,2019-01-08,765415
52.695,52.83,52.61,52.71,XLU,2019-01-08T11:00:00-05:00,2019-01-08,746011
52.69,52.75,52.605,52.69,XLU,2019-01-08T11:30:00-05:00,2019-01-08,596532
52.7,52.72,52.58,52.68,XLU,2019-01-08T12:00:00-05:00,2019-01-08,646176
52.5164,52.73,52.48,52.71,XLU,2019-01-08T12:30:00-05:00,2019-01-08,669026
52.57,52.66,52.47,52.52,XLU,2019-01-08T13:00:00-05:00,2019-01-08,440520
52.68,52.72,52.57,52.57,XLU,2019-01-08T13:30:00-05:00,2019-01-08,774084
52.72,52.775,52.67,52.68,XLU,2019-01-08T14:00:00-05:00,2019-01-08,738615
52.86,52.92,52.71,52.725,XLU,2019-01-08T14:30:00-05:00,2019-01-08,967614
52.9933,53.0,52.85,52.86,XLU,2019-01-08T15:00:00-05:00,2019-01-08,1145237
53.08,53.12,52.96,52.9975,XLU,2019-01-08T15:30:00-05:00,2019-01-08,3508857
52.88,53.25,52.59,53.03,XLU,2019-01-09T09:30:00-05:00,2019-01-09,2755531
52.94,53.0499,52.82,52.89,XLU,2019-01-09T10:00:00-05:00,2019-01-09,1360024
52.95,53.11,52.82,52.94,XLU,2019-01-09T10:30:00-05:00,2019-01-09,1602097
52.9026,53.07,52.87,52.95,XLU,2019-01-09T11:00:00-05:00,2019-01-09,1191886
52.91,52.985,52.85,52.91,XLU,2019-01-09T11:30:00-05:00,2019-01-09,790631
52.855,52.91,52.801,52.91,XLU,2019-01-09T12:00:00-05:00,2019-01-09,522998
52.94,53.0,52.82,52.86,XLU,2019-01-09T12:30:00-05:00,2019-01-09,1082033
52.885,52.96,52.825,52.95,XLU,2019-01-09T13:00:00-05:00,2019-01-09,755669
52.77,52.9,52.75,52.89,XLU,2019-01-09T13:30:00-05:00,2019-01-09,628199
