close,high,low,open,symbol,timestamp,tradingDay,volume
84.86,85.53,84.85,85.18,XLV,2019-01-02T09:30:00-05:00,2019-01-02,1914559
84.53,85.24,84.52,84.865,XLV,2019-01-02T10:00:00-05:00,2019-01-02,1152775
84.83,84.9,84.27,84.54,XLV,2019-01-02T10:30:00-05:00,2019-01-02,1750456
85.19,85.45,84.76,84.83,XLV,2019-01-02T11:00:00-05:00,2019-01-02,766382
84.96,85.38,84.95,85.2,XLV,2019-01-02T11:30:00-05:00,2019-01-02,549681
85.15,85.18,84.89,84.96,XLV,2019-01-02T12:00:00-05:00,2019-01-02,407571
85.5267,85.56,85.11,85.14,XLV,2019-01-02T12:30:00-05:00,2019-01-02,390544
85.72,85.83,85.51,85.52,XLV,2019-01-02T13:00:00-05:00,2019-01-02,597740
85.72,85.79,85.54,85.72,XLV,2019-01-02T13:30:00-05:00,2019-01-02,600993
85.26,85.72,85.16,85.72,XLV,2019-01-02T14:00:00-05:00,2019-01-02,384173
85.1,85.5299,85.1,85.27,XLV,2019-01-02T14:30:00-05:00,2019-01-02,932956
85.07,85.27,84.83,85.1,XLV,2019-01-02T15:00:00-05:00,2019-01-02,908117
85.25,85.34,84.81,85.03,XLV,2019-01-02T15:30:00-05:00,2019-01-02,2026679
84.69,85.5,84.455,85.32,XLV,2019-01-03T09:30:00-05:00,2019-01-03,1026992
83.72,84.7,83.7,84.69,XLV,2019-01-03T10:00:00-05:00,2019-01-03,1183028
83.85,83.91,83.32,83.71,XLV,2019-01-03T10:30:00-05:00,2019-01-03,1252157
83.92,84.3,83.76,83.86,XLV,2019-01-03T11:00:00-05:00,2019-01-03,784270
84.53,84.87,83.84,83.92,XLV,2019-01-03T11:30:00-05:00,2019-01-03,1378066
84.12,84.54,84.07,84.53,XLV,2019-01-03T12:00:00-05:00,2019-01-03,826313
84.28,84.31,83.93,84.13,XLV,2019-01-03T12:30:00-05:00,2019-01-03,477471
83.86,84.28,83.44,84.27,XLV,2019-01-03T13:00:00-05:00,2019-01-03,765077
83.76,84.08,83.64,83.84,XLV,2019-01-03T13:30:00-05:00,2019-01-03,478037
84.08,84.12,83.65,83.75,XLV,2019-01-03T14:00:00-05:00,2019-01-03,830969
83.65,84.22,83.56,84.09,XLV,2019-01-03T14:30:00-05:00,2019-01-03,630816
83.56,83.76,83.49,83.65,XLV,2019-01-03T15:00:00-05:00,2019-01-03,757368
83.41,83.82,83.25,83.55,XLV,2019-01-03T15:30:00-05:00,2019-01-03,2782627
85.15,85.18,84.41,84.45,XLV,2019-01-04T09:30:00-05:00,2019-01-04,1238360
85.71,85.71,84.84,85.15,XLV,2019-01-04T10:00:00-05:00,2019-01-04,1247810
85.77,85.85,85.46,85.71,XLV,2019-01-04T10:30:00-05:00,2019-01-04,1259004
85.48,86.12,85.47,85.77,XLV,2019-01-04T11:00:00-05:00,2019-01-04,1115201
85.52,85.71,85.39,85.48,XLV,2019-01-04T11:30:00-05:00,2019-01-04,558290
85.93,86.0366,85.37,85.5,XLV,2019-01-04T12:00:00-05:00,2019-01-04,685196
86.23,86.3,85.85,85.94,XLV,2019-01-04T12:30:00-05:00,2019-01-04,566968
86.18,86.43,86.12,86.23,XLV,2019-01-04T13:00:00-05:00,2019-01-04,733225
86.04,86.28,85.88,86.21,XLV,2019-01-04T13:30:00-05:00,2019-01-04,730352
85.95,86.07,85.8,86.05,XLV,2019-01-04T14:00:00-05:00,2019-01-04,534071
85.7446,86.07,85.74,85.95,XLV,2019-01-04T14:30:00-05:00,2019-01-04,889835
85.88,86.07,85.72,85.74,XLV,2019-01-04T15:00:00-05:00,2019-01-04,1161934
85.9,86.01,85.75,85.87,XLV,2019-01-04T15:30:00-05:00,2019-01-04,2839913
86.07,86.22,85.73,85.99,XLV,2019-01-07T09:30:00-05:00,2019-01-07,1018431
86.1,86.33,85.91,86.06,XLV,2019-01-07T10:00:00-05:00,2019-01-07,596207
86.41,86.52,86.1,86.1,XLV,2019-01-07T10:30:00-05:00,2019-01-07,615755
86.56,86.6533,86.3,86.41,XLV,2019-01-07T11:00:00-05:00,2019-01-07,289458
87.06,87.06,86.49,86.56,XLV,2019-01-07T11:30:00-05:00,2019-01-07,516301
86.96,87.07,86.86,87.06,XLV,2019-01-07T12:00:00-05:00,2019-01-07,509317
86.71,87.1,86.6866,86.97,XLV,2019-01-07T12:30:00-05:00,2019-01-07,737271
86.96,86.99,86.695,86.71,XLV,2019-01-07T13:00:00-05:00,2019-01-07,346917
86.55,86.98,86.5,86.96,XLV,2019-01-07T13:30:00-05:00,2019-01-07,320456
86.45,86.64,86.395,86.55,XLV,2019-01-07T14:00:00-05:00,2019-01-07,560919
86.2279,86.51,86.2279,86.45,XLV,2019-01-07T14:30:00-05:00,2019-01-07,475733
86.47,86.53,86.21,86.22,XLV,2019-01-07T15:00:00-05:00,2019-01-07,626431
86.26,86.56,86.18,86.47,XLV,2019-01-07T15:30:00-05:00,2019-01-07,2088271
86.8771,87.25,86.77,86.98,XLV,2019-01-08T09:30:00-05:00,2019-01-08,1170672
86.55,87.02,86.53,86.88,XLV,2019-01-08T10:00:00-05:00,2019-01-08,534053
86.25,86.62,85.9999,86.56,XLV,2019-01-08T10:30:00-05:00,2019-01-08,686934
86.2,86.5,86.1883,86.26,XLV,2019-01-08T11:00:00-05:00,2019-01-08,437061
86.39,86.42,86.02,86.21,XLV,2019-01-08T11:30:00-05:00,2019-01-08,590385
86.48,86.56,86.23,86.4,XLV,2019-01-08T12:00:00-05:00,2019-01-08,477116
86.48,86.61,86.22,86.49,XLV,2019-01-08T12:30:00-05:00,2019-01-08,1440057
86.71,86.756,86.38,86.49,XLV,2019-01-08T13:00:00-05:00,2019-01-08,268050
86.76,86.91,86.505,86.71,XLV,2019-01-08T13:30:00-05:00,2019-01-08,417755
86.7,86.84,86.6566,86.77,XLV,2019-01-08T14:00:00-05:00,2019-01-08,487562
86.81,86.91,86.66,86.7,XLV,2019-01-08T14:30:00-05:00,2019-01-08,1456447
86.995,87.0,86.64,86.8,XLV,2019-01-08T15:00:00-05:00,2019-01-08,540343
